sample_id,group,target_depth,replicate,spearman_rho
EE87814,Breast cancer,2000000,12,0.6139060968097254
EE87814,Breast cancer,2000000,13,0.5569621535344981
EE87814,Breast cancer,2000000,14,0.5412371666218804
EE87814,Breast cancer,2000000,15,0.5413964807229791
EE87814,Breast cancer,2000000,16,0.5866604688404539
EE87814,Breast cancer,2000000,17,0.6049938643277284
EE87814,Breast cancer,2000000,18,0.5390458429358125
EE87814,Breast cancer,2000000,19,0.5756023236570852
EE87814,Breast cancer,1000000,0,0.47341077544056615
EE87814,Breast cancer,1000000,1,0.45774656006857245
EE87814,Breast cancer,1000000,2,0.47507379516750436
EE87814,Breast cancer,1000000,3,0.40657932603586494
EE87814,Breast cancer,1000000,4,0.3862195543234634
EE87814,Breast cancer,1000000,5,0.37461620492486947
EE87814,Breast cancer,1000000,6,0.4326249220623716
EE87814,Breast cancer,1000000,7,0.4660032185539033
EE87814,Breast cancer,1000000,8,0.5048293119601308
EE87814,Breast cancer,1000000,9,0.43321583102653
EE87814,Breast cancer,1000000,10,0.470859919632905
EE87814,Breast cancer,1000000,11,0.4303171290070154
EE87814,Breast cancer,1000000,12,0.4874145910397462
EE87814,Breast cancer,1000000,13,0.4732595080954387
EE87814,Breast cancer,1000000,14,0.4696644161219236
EE87814,Breast cancer,1000000,15,0.4862806150557164
EE87814,Breast cancer,1000000,16,0.4451258566240337
EE87814,Breast cancer,1000000,17,0.4609987038499825
EE87814,Breast cancer,1000000,18,0.49874362581388515
EE87814,Breast cancer,1000000,19,0.46571051766078697
EE87815,Breast cancer,20000000,0,0.913612244180093
EE87815,Breast cancer,20000000,1,0.9075151026406335
EE87815,Breast cancer,20000000,2,0.8970115206082486
EE87815,Breast cancer,20000000,3,0.8964304744385284
EE87815,Breast cancer,20000000,4,0.8995614795050946
EE87815,Breast cancer,20000000,5,0.9164456259339406
EE87815,Breast cancer,20000000,6,0.9215547284260556
EE87815,Breast cancer,20000000,7,0.9070191940655123
EE87815,Breast cancer,20000000,8,0.9162501891697781
EE87815,Breast cancer,20000000,9,0.9011916657655675
EE87815,Breast cancer,20000000,10,0.9021658951954257
EE87815,Breast cancer,20000000,11,0.9015379956893476
EE87815,Breast cancer,20000000,12,0.9065346849387883
EE87815,Breast cancer,20000000,13,0.9026978260274812
EE87815,Breast cancer,20000000,14,0.9070044073524489
EE87815,Breast cancer,20000000,15,0.8868131832340822
EE87815,Breast cancer,20000000,16,0.9049485478560008
EE87815,Breast cancer,20000000,17,0.9165189379530941
EE87815,Breast cancer,20000000,18,0.9016381984442033
EE87815,Breast cancer,20000000,19,0.9065750715559662
EE87815,Breast cancer,10000000,0,0.7784521890597246
EE87815,Breast cancer,10000000,1,0.8097955266251304
EE87815,Breast cancer,10000000,2,0.7746130827660711
EE87815,Breast cancer,10000000,3,0.794314476257229
EE87815,Breast cancer,10000000,4,0.7986563633023748
EE87815,Breast cancer,10000000,5,0.803117911985836
EE87815,Breast cancer,10000000,6,0.8204143735386621
EE87815,Breast cancer,10000000,7,0.798788271205254
EE87815,Breast cancer,10000000,8,0.7971139006357947
EE87815,Breast cancer,10000000,9,0.7887634008658371
EE87815,Breast cancer,10000000,10,0.8184990899983194
EE87815,Breast cancer,10000000,11,0.7700771644946919
EE87815,Breast cancer,10000000,12,0.785077535791011
EE87815,Breast cancer,10000000,13,0.7895504642107881
EE87815,Breast cancer,10000000,14,0.8025098784771557
EE87815,Breast cancer,10000000,15,0.7938222155055948
EE87815,Breast cancer,10000000,16,0.7967431058332319
EE87815,Breast cancer,10000000,17,0.8047155283937462
EE87815,Breast cancer,10000000,18,0.7682748139935721
EE87815,Breast cancer,10000000,19,0.7894358380418484
EE87815,Breast cancer,5000000,0,0.6721415178356018
EE87815,Breast cancer,5000000,1,0.6614928043667836
EE87815,Breast cancer,5000000,2,0.6499559761438205
EE87815,Breast cancer,5000000,3,0.7055510658012341
EE87815,Breast cancer,5000000,4,0.652875212076563
EE87815,Breast cancer,5000000,5,0.7305652432772568
EE87815,Breast cancer,5000000,6,0.7069806543863341
EE87815,Breast cancer,5000000,7,0.6928058958209593
EE87815,Breast cancer,5000000,8,0.6542342643833592
EE87815,Breast cancer,5000000,9,0.6807955557914338
EE87815,Breast cancer,5000000,10,0.6765433986208524
EE87815,Breast cancer,5000000,11,0.6744943314532007
EE87815,Breast cancer,5000000,12,0.695792887004759
EE87815,Breast cancer,5000000,13,0.6756497800004041
EE87815,Breast cancer,5000000,14,0.688744793342488
EE87815,Breast cancer,5000000,15,0.7008673351737472
EE87815,Breast cancer,5000000,16,0.683630435804665
EE87815,Breast cancer,5000000,17,0.6309481550138737
EE87815,Breast cancer,5000000,18,0.6787483014821889
EE87815,Breast cancer,5000000,19,0.6623213055039142
EE87815,Breast cancer,2000000,0,0.5492947681935058
EE87815,Breast cancer,2000000,1,0.5505077941864568
EE87815,Breast cancer,2000000,2,0.5516071537535046
EE87815,Breast cancer,2000000,3,0.5320176088922236
EE87815,Breast cancer,2000000,4,0.5536602631452261
EE87815,Breast cancer,2000000,5,0.5321924026384459
EE87815,Breast cancer,2000000,6,0.48807317182518123
EE87815,Breast cancer,2000000,7,0.5556703371760935
EE87815,Breast cancer,2000000,8,0.48657692064921726
EE87815,Breast cancer,2000000,9,0.4883179835144107
EE87815,Breast cancer,2000000,10,0.5080857363117911
EE87815,Breast cancer,2000000,11,0.4952765810210301
EE87815,Breast cancer,2000000,12,0.5038015454820243
EE87815,Breast cancer,2000000,13,0.46978006229961405
EE87815,Breast cancer,2000000,14,0.513418324152001
EE87815,Breast cancer,2000000,15,0.44733664401574547
EE87815,Breast cancer,2000000,16,0.5271853103692438
EE87815,Breast cancer,2000000,17,0.5119312088202038
EE87815,Breast cancer,2000000,18,0.5179537982613794
EE87815,Breast cancer,2000000,19,0.48134476405253734
EE87815,Breast cancer,1000000,0,0.4369240244554093
EE87815,Breast cancer,1000000,1,0.31407446664943894
EE87815,Breast cancer,1000000,2,0.4371883329435286
EE87815,Breast cancer,1000000,3,0.37181253467875824
EE87815,Breast cancer,1000000,4,0.30458225835123026
EE87815,Breast cancer,1000000,5,0.32837733572485317
EE87815,Breast cancer,1000000,6,0.3895711776183621
EE87815,Breast cancer,1000000,7,0.348914675618617
EE87815,Breast cancer,1000000,8,0.3519272480570905
EE87815,Breast cancer,1000000,9,0.3420694277397363
EE87815,Breast cancer,1000000,10,0.2963099732251408
EE87815,Breast cancer,1000000,11,0.4033003559706595
EE87815,Breast cancer,1000000,12,0.37374741216203067
EE87815,Breast cancer,1000000,13,0.37949065043176883
EE87815,Breast cancer,1000000,14,0.3822921734674141
EE87815,Breast cancer,1000000,15,0.4129156164312331
EE87815,Breast cancer,1000000,16,0.4183189195404094
EE87815,Breast cancer,1000000,17,0.35376040794133906
EE87815,Breast cancer,1000000,18,0.37251389397521806
EE87815,Breast cancer,1000000,19,0.4421523406597509
EE87816,Breast cancer,20000000,0,0.9706881749287697
EE87816,Breast cancer,20000000,1,0.9634091385795116
EE87816,Breast cancer,20000000,2,0.9634857428727392
EE87816,Breast cancer,20000000,3,0.966028210703496
EE87816,Breast cancer,20000000,4,0.9657029681558038
EE87816,Breast cancer,20000000,5,0.9659322262384115
EE87816,Breast cancer,20000000,6,0.9650527436192402
EE87816,Breast cancer,20000000,7,0.9600256025101197
EE87816,Breast cancer,20000000,8,0.9581645455007355
EE87816,Breast cancer,20000000,9,0.9692290455339568
EE87816,Breast cancer,20000000,10,0.9666379183434713
EE87816,Breast cancer,20000000,11,0.9676762452431732
EE87816,Breast cancer,20000000,12,0.9698164753947792
EE87816,Breast cancer,20000000,13,0.9684465873959883
EE87816,Breast cancer,20000000,14,0.9699302744596336
EE87816,Breast cancer,20000000,15,0.9697749814026144
EE87816,Breast cancer,20000000,16,0.9676307777289955
