sample_id,group,filename,genome_build,data_type,assay,source_database,study
EE87859,Breast cancer,EE87859.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87860,Breast cancer,EE87860.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87920,Healthy,EE87920.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87921,Healthy,EE87921.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87922,Healthy,EE87922.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87923,Healthy,EE87923.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87924,Healthy,EE87924.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87925,Healthy,EE87925.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87933,Healthy,EE87933.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87934,Healthy,EE87934.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87935,Healthy,EE87935.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87936,Healthy,EE87936.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87937,Healthy,EE87937.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87938,Healthy,EE87938.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87939,Healthy,EE87939.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87941,Healthy,EE87941.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87942,Healthy,EE87942.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87943,Healthy,EE87943.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87944,Healthy,EE87944.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87945,Healthy,EE87945.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
EE87946,Healthy,EE87946.hg38.frag.tsv.bgz,hg38,cfDNA fragment coordinates,WGS,FinaleDB,"Cristiano et al., 2019"
